product_id,product_name,category,fit,neckline,pattern,sleeve_style,length,occasion,style_aesthetic,trend,price,base_return_rate
PROD_00048,SS25 Preview Fitted Floral Dresse,Dresses,Fitted,Crew,Floral,Balloon,Mini,Smart Casual,Boho,SS25 Preview,85.68,0.7545151364412293
PROD_00049,Clearance Regular Polka Dot Dresse,Dresses,Regular,Boat,Polka Dot,Bell,Knee,Holiday,Sporty,Clearance,76.31,0.6543993471942026
PROD_00050,AW24 Trend Slim Polka Dot Dresse,Dresses,Slim,High,Polka Dot,Bell,Knee,Loungewear,Classic,AW24 Trend,64.43,0.7021712617525917
PROD_00051,SS25 Preview Relaxed Plain Dresse,Dresses,Relaxed,V-Neck,Plain,Cap,Maxi,Smart Casual,Boho,SS25 Preview,93.14,0.6249078514134876
PROD_00052,SS25 Preview Fitted Abstract Dresse,Dresses,Fitted,Round,Abstract,Balloon,Above Knee,Loungewear,Sporty,SS25 Preview,80.05,0.7970907053752145
PROD_00053,Continuity Fitted Stripe Dresse,Dresses,Fitted,Boat,Stripe,Long,Mini,Casual,Sporty,Continuity,67.99,0.6315533180663135
PROD_00054,AW24 Trend Relaxed Plain Dresse,Dresses,Relaxed,V-Neck,Plain,Balloon,Above Knee,Loungewear,Boho,AW24 Trend,67.61,0.5766798320646269
PROD_00055,AW24 Core Oversized Abstract Dresse,Dresses,Oversized,Square,Abstract,Puff,Maxi,Casual,Classic,AW24 Core,113.9,0.7566595944712053
PROD_00056,AW24 Trend Regular Plain Dresse,Dresses,Regular,Square,Plain,Long,Knee,Holiday,Romantic,AW24 Trend,108.49,0.6070074456666708
PROD_00057,AW24 Trend Oversized Plain Dresse,Dresses,Oversized,Round,Plain,Balloon,Knee,Casual,Boho,AW24 Trend,99.73,0.630079214933962
PROD_00058,AW24 Trend Regular Plain Dresse,Dresses,Regular,High,Plain,Balloon,Maxi,Evening,Romantic,AW24 Trend,95.98,0.6385205802680416
PROD_00059,AW24 Trend Regular Floral Dresse,Dresses,Regular,Off-Shoulder,Floral,Long,Above Knee,Evening,Classic,AW24 Trend,88.04,0.6855649549439878
PROD_00060,AW24 Core Relaxed Check Dresse,Dresses,Relaxed,Off-Shoulder,Check,Long,Above Knee,Work,Contemporary,AW24 Core,77.35,0.6557776560375158
PROD_00061,Continuity Oversized Plain Dresse,Dresses,Oversized,Off-Shoulder,Plain,Long,Midi,Smart Casual,Contemporary,Continuity,111.68,0.581803961169452
PROD_00062,AW24 Trend Relaxed Polka Dot Dresse,Dresses,Relaxed,Crew,Polka Dot,Long,Above Knee,Smart Casual,Classic,AW24 Trend,88.23,0.5156224294850973
PROD_00063,Clearance Oversized Stripe Dresse,Dresses,Oversized,Crew,Stripe,Long,Mini,Work,Boho,Clearance,94.89,0.6612800800407863
PROD_00064,SS25 Preview Oversized Polka Dot Dresse,Dresses,Oversized,High,Polka Dot,Bell,Knee,Casual,Classic,SS25 Preview,75.64,0.7146407074212133
PROD_00065,SS25 Preview Regular Stripe Dresse,Dresses,Regular,Square,Stripe,Standard,Mini,Holiday,Minimalist,SS25 Preview,107.8,0.6643275489064449
PROD_00066,AW24 Trend Relaxed Animal Print Dresse,Dresses,Relaxed,Boat,Animal Print,Bell,Mini,Evening,Romantic,AW24 Trend,89.79,0.735921813176846
PROD_00067,AW24 Trend Relaxed Abstract Dresse,Dresses,Relaxed,V-Neck,Abstract,Puff,Mini,Holiday,Romantic,AW24 Trend,63.16,0.639957971354003
PROD_00068,AW24 Core Relaxed Plain Dresse,Dresses,Relaxed,Boat,Plain,Cap,Knee,Holiday,Boho,AW24 Core,82.43,0.5663685188687049
PROD_00069,SS25 Preview Relaxed Stripe Dresse,Dresses,Relaxed,Square,Stripe,Cap,Midi,Work,Minimalist,SS25 Preview,66.56,0.6603213062099504
PROD_00070,AW24 Trend Fitted Floral Dresse,Dresses,Fitted,Round,Floral,Puff,Midi,Loungewear,Sporty,AW24 Trend,112.1,0.7583114285723047
PROD_00071,SS25 Preview Fitted Stripe Dresse,Dresses,Fitted,Square,Stripe,Puff,Maxi,Casual,Boho,SS25 Preview,69.03,0.827566525299742
PROD_00072,Continuity Regular Polka Dot Dresse,Dresses,Regular,Boat,Polka Dot,Bell,Maxi,Loungewear,Boho,Continuity,103.22,0.6181721527473478
PROD_00073,AW24 Trend Oversized Abstract Dresse,Dresses,Oversized,Boat,Abstract,Sleeveless,Maxi,Evening,Sporty,AW24 Trend,109.28,0.7706416536574021
PROD_00074,AW24 Trend Slim Animal Print Dresse,Dresses,Slim,Crew,Animal Print,Cap,Maxi,Work,Classic,AW24 Trend,110.32,0.7848682953357364
PROD_00075,AW24 Trend Relaxed Polka Dot Dresse,Dresses,Relaxed,Round,Polka Dot,Sleeveless,Above Knee,Casual,Classic,AW24 Trend,69.31,0.6023505311247338
PROD_00076,Clearance Oversized Polka Dot Dresse,Dresses,Oversized,Square,Polka Dot,Long,Mini,Evening,Minimalist,Clearance,73.08,0.6509691711105191
PROD_00077,AW24 Trend Regular Abstract Dresse,Dresses,Regular,High,Abstract,Puff,Midi,Evening,Contemporary,AW24 Trend,102.91,0.7308826497716864
PROD_00078,AW24 Trend Slim Polka Dot Dresse,Dresses,Slim,Off-Shoulder,Polka Dot,Long,Mini,Evening,Contemporary,AW24 Trend,78.37,0.8076398368910006
PROD_00079,AW24 Trend Fitted Plain Dresse,Dresses,Fitted,Boat,Plain,Bell,Above Knee,Casual,Minimalist,AW24 Trend,102.69,0.6984044772050214
PROD_00080,Clearance Oversized Animal Print Dresse,Dresses,Oversized,High,Animal Print,Bell,Maxi,Work,Minimalist,Clearance,74.36,0.7574157945879082
PROD_00081,Continuity Fitted Polka Dot Dresse,Dresses,Fitted,Boat,Polka Dot,Bell,Midi,Smart Casual,Sporty,Continuity,64.45,0.6916621978165276
PROD_00082,AW24 Trend Oversized Polka Dot Dresse,Dresses,Oversized,Crew,Polka Dot,Sleeveless,Knee,Holiday,Minimalist,AW24 Trend,87.32,0.6226170254128255
PROD_00083,SS25 Preview Relaxed Plain Dresse,Dresses,Relaxed,Boat,Plain,Cap,Knee,Smart Casual,Boho,SS25 Preview,114.88,0.5647958334109405
PROD_00084,AW24 Trend Relaxed Plain Dresse,Dresses,Relaxed,Square,Plain,Sleeveless,Above Knee,Smart Casual,Minimalist,AW24 Trend,69.26,0.5609097364589615
PROD_00085,Continuity Regular Check Dresse,Dresses,Regular,V-Neck,Check,Puff,Knee,Holiday,Minimalist,Continuity,103.37,0.5103534873886897
PROD_00086,AW24 Core Slim Polka Dot Dresse,Dresses,Slim,Round,Polka Dot,Puff,Midi,Holiday,Sporty,AW24 Core,92.49,0.6525505659271843
PROD_00087,Continuity Fitted Check Dresse,Dresses,Fitted,Boat,Check,Standard,Knee,Work,Minimalist,Continuity,64.14,0.5921009156986361
PROD_00088,AW24 Trend Fitted Abstract Dresse,Dresses,Fitted,High,Abstract,Bell,Maxi,Smart Casual,Minimalist,AW24 Trend,105.91,0.8145825549827017
PROD_00089,Continuity Relaxed Check Dresse,Dresses,Relaxed,Boat,Check,Standard,Midi,Work,Sporty,Continuity,66.93,0.5885238878707566
PROD_00090,Continuity Regular Check Dresse,Dresses,Regular,Off-Shoulder,Check,Sleeveless,Maxi,Holiday,Classic,Continuity,111.07,0.6738363102101022
PROD_00091,AW24 Trend Fitted Abstract Dresse,Dresses,Fitted,Square,Abstract,Standard,Mini,Loungewear,Minimalist,AW24 Trend,106.6,0.7787972754397888
PROD_00092,Continuity Oversized Plain Dresse,Dresses,Oversized,Round,Plain,Balloon,Midi,Work,Contemporary,Continuity,112.25,0.5133695654399437
PROD_00093,AW24 Core Relaxed Polka Dot Dresse,Dresses,Relaxed,Crew,Polka Dot,Puff,Knee,Evening,Boho,AW24 Core,112.57,0.5551423317531303
PROD_00094,AW24 Core Oversized Abstract Dresse,Dresses,Oversized,V-Neck,Abstract,Bell,Mini,Work,Contemporary,AW24 Core,81.71,0.7176617233552508
PROD_00095,AW24 Trend Slim Plain Dresse,Dresses,Slim,Off-Shoulder,Plain,Sleeveless,Above Knee,Casual,Romantic,AW24 Trend,77.02,0.7938181172524722
PROD_00096,Continuity Regular Check Dresse,Dresses,Regular,Round,Check,Cap,Mini,Holiday,Contemporary,Continuity,99.72,0.5332172522061733
PROD_00097,AW24 Core Relaxed Stripe Dresse,Dresses,Relaxed,Off-Shoulder,Stripe,Sleeveless,Maxi,Holiday,Sporty,AW24 Core,111.93,0.6965316299525386
PROD_00098,Continuity Regular Plain Dresse,Dresses,Regular,Crew,Plain,Bell,Mini,Work,Romantic,Continuity,104.91,0.48048024090562097
PROD_00099,AW24 Trend Oversized Floral Dresse,Dresses,Oversized,High,Floral,Standard,Maxi,Loungewear,Sporty,AW24 Trend,65.71,0.7438546053396965
PROD_00100,AW24 Core Slim Polka Dot Dresse,Dresses,Slim,High,Polka Dot,Balloon,Maxi,Casual,Romantic,AW24 Core,77.4,0.7187223141210207
PROD_00101,SS25 Preview Relaxed Check Dresse,Dresses,Relaxed,Square,Check,Cap,Knee,Casual,Romantic,SS25 Preview,114.79,0.630449042435403
PROD_00102,SS25 Preview Slim Check Dresse,Dresses,Slim,Off-Shoulder,Check,Long,Midi,Casual,Minimalist,SS25 Preview,100.62,0.8342777413479927
PROD_00103,SS25 Preview Oversized Floral Dresse,Dresses,Oversized,High,Floral,Puff,Above Knee,Loungewear,Romantic,SS25 Preview,82.44,0.787661763731501
PROD_00104,Clearance Fitted Animal Print Dresse,Dresses,Fitted,Off-Shoulder,Animal Print,Long,Midi,Evening,Minimalist,Clearance,85.5,0.8401840168452807
PROD_00105,AW24 Trend Relaxed Polka Dot Dresse,Dresses,Relaxed,Crew,Polka Dot,Sleeveless,Mini,Work,Minimalist,AW24 Trend,71.95,0.6569533671814981
PROD_00106,Continuity Oversized Animal Print Dresse,Dresses,Oversized,Square,Animal Print,Cap,Midi,Work,Classic,Continuity,73.98,0.6947686177064281
PROD_00107,SS25 Preview Relaxed Check Dresse,Dresses,Relaxed,Round,Check,Sleeveless,Knee,Work,Boho,SS25 Preview,102.68,0.6026220506980932
PROD_00108,AW24 Core Fitted Stripe Dresse,Dresses,Fitted,High,Stripe,Bell,Mini,Holiday,Contemporary,AW24 Core,94.78,0.7093755141565408
PROD_00109,Continuity Regular Check Dresse,Dresses,Regular,High,Check,Puff,Maxi,Smart Casual,Sporty,Continuity,101.94,0.6044573501069429
PROD_00110,Continuity Oversized Polka Dot Dresse,Dresses,Oversized,Boat,Polka Dot,Standard,Mini,Work,Contemporary,Continuity,65.42,0.5928331252368612
PROD_00111,Clearance Regular Abstract Dresse,Dresses,Regular,Crew,Abstract,Bell,Knee,Evening,Romantic,Clearance,87.63,0.5799929397473067
PROD_00112,Continuity Relaxed Abstract Dresse,Dresses,Relaxed,Boat,Abstract,Bell,Knee,Work,Sporty,Continuity,81.25,0.5268020052192679
PROD_00113,SS25 Preview Relaxed Stripe Dresse,Dresses,Relaxed,Crew,Stripe,Sleeveless,Mini,Loungewear,Contemporary,SS25 Preview,65.36,0.6299983018293569
PROD_00114,Continuity Slim Animal Print Dresse,Dresses,Slim,High,Animal Print,Long,Above Knee,Smart Casual,Contemporary,Continuity,109.52,0.6483307248184204
PROD_00115,AW24 Core Relaxed Animal Print Dresse,Dresses,Relaxed,High,Animal Print,Long,Maxi,Holiday,Boho,AW24 Core,94.22,0.5951742912953053
PROD_00116,Clearance Regular Floral Dresse,Dresses,Regular,Crew,Floral,Balloon,Above Knee,Work,Classic,Clearance,84.69,0.6264739204910847
PROD_00117,AW24 Trend Regular Plain Dresse,Dresses,Regular,Crew,Plain,Standard,Maxi,Work,Sporty,AW24 Trend,84.23,0.610109758736427
PROD_00118,Continuity Oversized Polka Dot Dresse,Dresses,Oversized,V-Neck,Polka Dot,Standard,Maxi,Work,Minimalist,Continuity,62.69,0.6004637287977436
PROD_00119,AW24 Core Oversized Floral Dresse,Dresses,Oversized,Crew,Floral,Standard,Knee,Evening,Classic,AW24 Core,97.62,0.599172011413469
PROD_00120,Clearance Oversized Plain Dresse,Dresses,Oversized,Boat,Plain,Bell,Mini,Smart Casual,Contemporary,Clearance,81.96,0.6338400877326347
PROD_00121,Clearance Relaxed Floral Dresse,Dresses,Relaxed,V-Neck,Floral,Standard,Maxi,Evening,Romantic,Clearance,84.77,0.6579031840791668
PROD_00122,SS25 Preview Fitted Polka Dot Dresse,Dresses,Fitted,Round,Polka Dot,Bell,Midi,Evening,Minimalist,SS25 Preview,110.89,0.7601945405131841
PROD_00123,AW24 Core Fitted Stripe Dresse,Dresses,Fitted,Boat,Stripe,Bell,Maxi,Casual,Romantic,AW24 Core,93.38,0.7717261875865756
PROD_00124,AW24 Trend Regular Floral Dresse,Dresses,Regular,High,Floral,Balloon,Mini,Smart Casual,Contemporary,AW24 Trend,108.46,0.7297804681341075
PROD_00125,Clearance Fitted Floral Dresse,Dresses,Fitted,V-Neck,Floral,Standard,Midi,Evening,Sporty,Clearance,87.67,0.6956888071737267
PROD_00126,Continuity Oversized Plain Dresse,Dresses,Oversized,Crew,Plain,Sleeveless,Knee,Loungewear,Boho,Continuity,113.92,0.48860509356518356
PROD_00127,Continuity Slim Floral Dresse,Dresses,Slim,High,Floral,Balloon,Maxi,Loungewear,Contemporary,Continuity,66.74,0.709716625429035
PROD_00128,AW24 Core Slim Floral Dresse,Dresses,Slim,Square,Floral,Cap,Above Knee,Work,Contemporary,AW24 Core,87.96,0.7162959623313019
PROD_00129,SS25 Preview Slim Polka Dot Dresse,Dresses,Slim,Round,Polka Dot,Balloon,Maxi,Loungewear,Romantic,SS25 Preview,91.65,0.7368753906422487
PROD_00130,SS25 Preview Oversized Check Dresse,Dresses,Oversized,V-Neck,Check,Cap,Knee,Loungewear,Minimalist,SS25 Preview,109.17,0.6917164278975703
PROD_00131,Continuity Fitted Check Dresse,Dresses,Fitted,Square,Check,Puff,Mini,Holiday,Classic,Continuity,106.43,0.6803994603609388
PROD_00132,Clearance Relaxed Stripe Dresse,Dresses,Relaxed,Square,Stripe,Standard,Mini,Smart Casual,Sporty,Clearance,65.22,0.6057688691185453
PROD_00133,AW24 Trend Fitted Polka Dot Dresse,Dresses,Fitted,V-Neck,Polka Dot,Cap,Knee,Holiday,Classic,AW24 Trend,89.67,0.7471845301325485
PROD_00134,Continuity Oversized Abstract Dresse,Dresses,Oversized,Square,Abstract,Puff,Knee,Smart Casual,Romantic,Continuity,87.37,0.5990876854231584
PROD_00135,AW24 Core Oversized Check Dresse,Dresses,Oversized,V-Neck,Check,Balloon,Midi,Work,Boho,AW24 Core,78.58,0.7157857783517491
PROD_00136,Continuity Regular Check Dresse,Dresses,Regular,Crew,Check,Cap,Midi,Work,Sporty,Continuity,69.19,0.49926763964867005
PROD_00137,AW24 Core Fitted Check Dresse,Dresses,Fitted,V-Neck,Check,Standard,Knee,Work,Boho,AW24 Core,103.95,0.6397859398390211
PROD_00138,Continuity Oversized Animal Print Dresse,Dresses,Oversized,Off-Shoulder,Animal Print,Long,Mini,Loungewear,Romantic,Continuity,74.45,0.7071626365195262
PROD_00139,Continuity Oversized Floral Dresse,Dresses,Oversized,V-Neck,Floral,Bell,Knee,Holiday,Minimalist,Continuity,80.07,0.546618499960975
PROD_00140,Continuity Slim Stripe Dresse,Dresses,Slim,Round,Stripe,Bell,Above Knee,Work,Minimalist,Continuity,80.62,0.6339924372885708
PROD_00141,SS25 Preview Slim Abstract Dresse,Dresses,Slim,V-Neck,Abstract,Bell,Above Knee,Loungewear,Contemporary,SS25 Preview,88.21,0.8288124075954636
PROD_00142,Continuity Fitted Animal Print Dresse,Dresses,Fitted,V-Neck,Animal Print,Puff,Mini,Smart Casual,Classic,Continuity,109.89,0.6879163918290151
PROD_00143,Clearance Slim Polka Dot Dresse,Dresses,Slim,High,Polka Dot,Sleeveless,Midi,Loungewear,Boho,Clearance,100.2,0.6960355373134828
PROD_00144,Clearance Relaxed Polka Dot Dresse,Dresses,Relaxed,Boat,Polka Dot,Puff,Midi,Smart Casual,Minimalist,Clearance,64.98,0.6783711583209153
PROD_00145,AW24 Core Regular Floral Dresse,Dresses,Regular,Boat,Floral,Bell,Maxi,Loungewear,Contemporary,AW24 Core,100.77,0.6296694559787569
PROD_00146,SS25 Preview Relaxed Polka Dot Dresse,Dresses,Relaxed,Off-Shoulder,Polka Dot,Long,Midi,Work,Romantic,SS25 Preview,72.14,0.6781825003295472
PROD_00147,Continuity Slim Abstract Dresse,Dresses,Slim,Crew,Abstract,Balloon,Maxi,Holiday,Sporty,Continuity,63.47,0.6339361879819729
PROD_00148,Clearance Regular Animal Print Dresse,Dresses,Regular,Boat,Animal Print,Puff,Knee,Work,Romantic,Clearance,69.48,0.6974485603119792
PROD_00149,Clearance Oversized Stripe Dresse,Dresses,Oversized,Boat,Stripe,Long,Above Knee,Loungewear,Contemporary,Clearance,94.65,0.6367720615971152
PROD_00150,Continuity Oversized Polka Dot Dresse,Dresses,Oversized,Round,Polka Dot,Long,Midi,Casual,Boho,Continuity,63.75,0.5328351800568847
PROD_00151,AW24 Trend Oversized Abstract Dresse,Dresses,Oversized,Boat,Abstract,Long,Above Knee,Evening,Classic,AW24 Trend,62.86,0.738350150258791
PROD_00152,Clearance Fitted Stripe Dresse,Dresses,Fitted,Square,Stripe,Long,Mini,Evening,Classic,Clearance,110.0,0.7361889894377485
PROD_00153,AW24 Core Oversized Abstract Dresse,Dresses,Oversized,V-Neck,Abstract,Sleeveless,Midi,Loungewear,Contemporary,AW24 Core,90.9,0.6632839921057174
PROD_00154,AW24 Core Oversized Stripe Dresse,Dresses,Oversized,Off-Shoulder,Stripe,Balloon,Maxi,Loungewear,Minimalist,AW24 Core,83.08,0.7576983392617653
PROD_00155,Continuity Relaxed Abstract Dresse,Dresses,Relaxed,Off-Shoulder,Abstract,Long,Maxi,Evening,Boho,Continuity,110.04,0.6687424535370359
PROD_00156,SS25 Preview Fitted Animal Print Dresse,Dresses,Fitted,V-Neck,Animal Print,Standard,Above Knee,Loungewear,Sporty,SS25 Preview,95.14,0.7735816364641533
PROD_00157,AW24 Core Regular Plain Dresse,Dresses,Regular,High,Plain,Puff,Mini,Loungewear,Sporty,AW24 Core,113.67,0.6326907562145865
PROD_00158,AW24 Core Oversized Abstract Dresse,Dresses,Oversized,Round,Abstract,Balloon,Mini,Casual,Boho,AW24 Core,86.48,0.6908959040422049
PROD_00159,Continuity Relaxed Stripe Dresse,Dresses,Relaxed,Crew,Stripe,Puff,Above Knee,Smart Casual,Romantic,Continuity,113.5,0.4678694315928526
PROD_00160,Clearance Fitted Polka Dot Dresse,Dresses,Fitted,High,Polka Dot,Sleeveless,Above Knee,Smart Casual,Classic,Clearance,93.26,0.6742814304472868
PROD_00161,AW24 Trend Oversized Abstract Dresse,Dresses,Oversized,Square,Abstract,Sleeveless,Midi,Holiday,Contemporary,AW24 Trend,77.2,0.7182550267518641
PROD_00162,Continuity Oversized Stripe Dresse,Dresses,Oversized,High,Stripe,Puff,Knee,Loungewear,Classic,Continuity,115.64,0.5604968587376189
PROD_00163,Clearance Relaxed Animal Print Dresse,Dresses,Relaxed,High,Animal Print,Sleeveless,Mini,Evening,Boho,Clearance,93.19,0.6254966306839823
PROD_00164,AW24 Trend Relaxed Check Dresse,Dresses,Relaxed,High,Check,Cap,Knee,Evening,Boho,AW24 Trend,70.55,0.5682572158035278
PROD_00165,SS25 Preview Oversized Check Dresse,Dresses,Oversized,Off-Shoulder,Check,Standard,Above Knee,Evening,Romantic,SS25 Preview,89.56,0.78395629417729
PROD_00166,SS25 Preview Fitted Abstract Dresse,Dresses,Fitted,Crew,Abstract,Balloon,Mini,Loungewear,Minimalist,SS25 Preview,79.2,0.7958792408364525
PROD_00167,Continuity Slim Polka Dot Dresse,Dresses,Slim,Square,Polka Dot,Cap,Mini,Holiday,Sporty,Continuity,78.49,0.6086967020255933
